timestamp, key, comment
1559054329067, a, session marker
1558626032351, a, session marker
1558626043591, j, clear mind
1558626090418, f, hijacked by thought
1558626097513, j, clear mind
1558626116946, j, clear mind
1558626203565, f, hijacked by thought
1558626208148, j, clear mind
1558626231072, f, hijacked by thought
1558626236713, j, clear mind
1558626347943, f, hijacked by thought
1558626349651, j, clear mind
1558626349818, j, clear mind
1558626349835, j, clear mind
1558626381069, f, hijacked by thought
1558626383896, j, clear mind
1558626384062, j, clear mind
1558626384079, j, clear mind
1558626384096, j, clear mind
1558626421721, f, hijacked by thought
1558626424878, j, clear mind
1558626425045, j, clear mind
1558626481004, f, hijacked by thought
1558626481171, f, hijacked by thought
1558626481188, f, hijacked by thought
1558626481205, f, hijacked by thought
1558626481223, f, hijacked by thought
1558626486039, j, clear mind
1558626523318, f, hijacked by thought
1558626523485, f, hijacked by thought
1558626523997, f, hijacked by thought
1558626524164, f, hijacked by thought
1558626525336, j, clear mind
1558626525503, j, clear mind
1558626525520, j, clear mind
1558626525537, j, clear mind
1558626525553, j, clear mind
1558626525571, j, clear mind
1558626598572, f, hijacked by thought
1558626598739, f, hijacked by thought
1558626598756, f, hijacked by thought
1558626598773, f, hijacked by thought
1558626599525, f, hijacked by thought
1558626599692, f, hijacked by thought
1558626604757, j, clear mind
1558626623159, f, hijacked by thought
1558626629839, j, clear mind
1558626630005, j, clear mind
1558626630021, j, clear mind
1558626630038, j, clear mind
1558626684192, f, hijacked by thought
1558626684702, f, hijacked by thought
1558626684870, f, hijacked by thought
1558626685254, f, hijacked by thought
1558626691101, j, clear mind
1558626691268, j, clear mind
1558626713815, f, hijacked by thought
1558626713982, f, hijacked by thought
1558626713998, f, hijacked by thought
1558626714548, f, hijacked by thought
1558626716922, j, clear mind
1558626717089, j, clear mind
1558626717104, j, clear mind
1558626740249, f, hijacked by thought
1558626748032, f, hijacked by thought
1558626748199, f, hijacked by thought
1558626755686, j, clear mind
1558626755853, j, clear mind
1558626755869, j, clear mind
1558626755886, j, clear mind
1558626767409, f, hijacked by thought
1558626772880, j, clear mind
1558626773046, j, clear mind
1558626773061, j, clear mind
1558626773082, j, clear mind
1558626773096, j, clear mind
1558626821259, f, hijacked by thought
1558626825405, j, clear mind
1558626825572, j, clear mind
1558626825591, j, clear mind
1558626845808, f, hijacked by thought
1558626845975, f, hijacked by thought
1558626845992, f, hijacked by thought
1558626846009, f, hijacked by thought
1558626846026, f, hijacked by thought
1558626855305, j, clear mind
1558626855472, j, clear mind
1558626855489, j, clear mind
1558626884623, f, hijacked by thought
1558626884790, f, hijacked by thought
1558626889389, f, hijacked by thought
1558626889556, f, hijacked by thought
1558626889571, f, hijacked by thought
1558626896874, f, hijacked by thought
1558626897041, f, hijacked by thought
1558626897057, f, hijacked by thought
1558626905588, j, clear mind
1558626946918, f, hijacked by thought
1558626954283, f, hijacked by thought
1558626954449, f, hijacked by thought
1558626961963, f, hijacked by thought
1558626962128, f, hijacked by thought
1558626962144, f, hijacked by thought
1558626962161, f, hijacked by thought
1558626969261, f, hijacked by thought
1558626969429, f, hijacked by thought
1558626969445, f, hijacked by thought
1558626969463, f, hijacked by thought
1558626985772, j, clear mind
1558626985939, j, clear mind
1558626994127, f, hijacked by thought
1558626994294, f, hijacked by thought
1558626994309, f, hijacked by thought
1558627000488, j, clear mind
1558627000656, j, clear mind
1558627002850, a, session marker
