1558967418046, a, session marker
1558967588750, f, hijacked by thought
1558967588916, f, hijacked by thought
1558967588933, f, hijacked by thought
1558967588951, f, hijacked by thought
1558967602635, j, clear mind
1558967613313, f, hijacked by thought
1558967613480, f, hijacked by thought
1558967613497, f, hijacked by thought
1558967619702, j, clear mind
1558967645876, f, hijacked by thought
1558967646042, f, hijacked by thought
1558967646062, f, hijacked by thought
1558967646076, f, hijacked by thought
1558967704507, f, hijacked by thought
1558967704673, f, hijacked by thought
1558967704690, f, hijacked by thought
1558967716683, f, hijacked by thought
1558967716850, f, hijacked by thought
1558967716868, f, hijacked by thought
1558967722512, j, clear mind
1558967722678, j, clear mind
1558967849002, f, hijacked by thought
1558967849170, f, hijacked by thought
1558967849184, f, hijacked by thought
1558967849410, f, hijacked by thought
1558967849576, f, hijacked by thought
1558967849597, f, hijacked by thought
1558967849719, f, hijacked by thought
1558967850006, f, hijacked by thought
1558967904504, f, hijacked by thought
1558967978819, f, hijacked by thought
1558967978985, f, hijacked by thought
1558967979005, f, hijacked by thought
1558967979018, f, hijacked by thought
1558967979252, f, hijacked by thought
1558967979418, f, hijacked by thought
1558967979434, f, hijacked by thought
1558967979456, f, hijacked by thought
1558967979732, f, hijacked by thought
1558967979899, f, hijacked by thought
1558967979916, f, hijacked by thought
1558968019343, f, hijacked by thought
1558968019509, f, hijacked by thought
1558968019525, f, hijacked by thought
1558968019542, f, hijacked by thought
1558968019558, f, hijacked by thought
1558968019576, f, hijacked by thought
1558968021597, f, hijacked by thought
1558968021764, f, hijacked by thought
1558968021779, f, hijacked by thought
1558968021798, f, hijacked by thought
1558968021815, f, hijacked by thought
1558968021832, f, hijacked by thought
1558968029011, j, clear mind
1558968037327, j, clear mind
1558968043319, f, hijacked by thought
1558968043486, f, hijacked by thought
1558968047305, j, clear mind
1558968047472, j, clear mind
1558968047488, j, clear mind
1558968047505, j, clear mind
1558968047521, j, clear mind
1558968055504, j, clear mind
1558968055671, j, clear mind
1558968066932, j, clear mind
1558968067099, j, clear mind
1558968076878, j, clear mind
1558968077044, j, clear mind
1558968077060, j, clear mind
1558968086138, j, clear mind
1558968086305, j, clear mind
1558968092429, f, hijacked by thought
1558968101361, j, clear mind
1558968101527, j, clear mind
1558968101543, j, clear mind
1558968111619, j, clear mind
1558968111785, j, clear mind
1558968111800, j, clear mind
1558968120840, j, clear mind
1558968121007, j, clear mind
1558968121026, j, clear mind
1558968121041, j, clear mind
1558968131804, j, clear mind
1558968131971, j, clear mind
1558968131987, j, clear mind
1558968143017, j, clear mind
1558968143183, j, clear mind
1558968143200, j, clear mind
1558968143217, j, clear mind
1558968151929, j, clear mind
1558968152096, j, clear mind
1558968152111, j, clear mind
1558968152129, j, clear mind
1558968152146, j, clear mind
1558968160480, j, clear mind
1558968160647, j, clear mind
1558968160662, j, clear mind
1558968160680, j, clear mind
1558968169110, j, clear mind
1558968169277, j, clear mind
1558968169292, j, clear mind
1558968175718, j, clear mind
1558968175885, j, clear mind
1558968175900, j, clear mind
1558968175921, j, clear mind
1558968175935, j, clear mind
1558968175952, j, clear mind
1558968175968, j, clear mind
1558968175988, j, clear mind
1558968176003, j, clear mind
1558968176019, j, clear mind
1558968176038, j, clear mind
1558968186360, j, clear mind
1558968186527, j, clear mind
1558968197369, j, clear mind
1558968197535, j, clear mind
1558968197551, j, clear mind
1558968197571, j, clear mind
1558968197587, j, clear mind
1558968219158, a, session marker
