timestamp,key,comment
1561035157744,a,session marker
1561035163023,j,clear mind
1561035179318,f,+1 thought
1561035190628,f,+1 thought
1561035202845,j,clear mind
1561035238704,f,+1 thought
1561035253672,j,clear mind
1561035285566,f,+1 thought
1561035288044,j,clear mind
1561035322635,f,+1 thought
1561035326351,j,clear mind
1561035348317,f,+1 thought
1561035463784,f,+1 thought
1561035511651,f,+1 thought
1561035519060,g,hijacked by thought
1561035527382,j,clear mind
1561035593250,g,hijacked by thought
1561035600068,j,clear mind
1561035705135,g,hijacked by thought
1561035707314,j,clear mind
1561035727794,f,+1 thought
1561035728391,f,+1 thought
1561035752193,f,+1 thought
1561035766650,a,session marker
